STATE,REGION,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,ASSAULT,187
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,CHILD STEALING,4
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,88
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,KIDNAPPING,53
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,2
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,182
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,1
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,COINING OFFENCE,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,GAMBLING,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BREACH OF PEACE,87
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,PERJURY,1
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,BRIBERY & CORRUPTION,0
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,ESCAPE FROM CUSTODY,2
BAYELSA,SOUTH SOUTH,OFFENCES AGAINST LAWFUL AUTH,OTHER OFFENCE AGAINST LAWFUL AUTH,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,59
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,5
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,THEFT /STEALING,811
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,BURGLARY,32
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,34
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,STORE BREAKING,90
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,22
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,FORGERY,11
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,3
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,ARSON,8
BENUE,NORTH CENTRAL,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,420
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,MURDER,51
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,MAN SLAUGHTER,3
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ATTEMPTED MURDER,6
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,SUICIDE,3
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ATTEMPTED SUICIDE,2
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,GRIEVIOUS HARM WOUNDING,90
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,ASSAULT,76
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,CHILD STEALING,45
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,SLAVE DEALING,0
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,RAPE & INDICENT ASSAULT,23
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,KIDNAPPING,67
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,UNNATURAL OFFENCE,9
BENUE,NORTH CENTRAL,OFFENCES AGAINST PERSONS,OTHER OFFENCE AGAINST PERSONS,56
BENUE,NORTH CENTRAL,OFFENCES AGAINST LAWFUL AUTH,FORGERY OF CURRENCY,11
